utbildningens inriktning,År,Studerande,Examinerade,Andel examinerade
Data/It,2005,2587.0,0.0,0.0
Data/It,2006,2546.0,0.0,0.0
Data/It,2007,2797.0,427.0,15.3
Data/It,2008,2817.0,413.0,14.7
Data/It,2009,2857.0,515.0,18.0
Data/It,2010,2903.0,525.0,18.1
Data/It,2011,3160.0,716.0,22.7
Data/It,2012,3398.0,594.0,17.5
Data/It,2013,4054.0,856.0,21.1
Data/It,2014,4937.0,999.0,20.2
Data/It,2015,5812.0,1114.0,19.2
Data/It,2016,6183.0,1192.0,19.3
Data/It,2017,6210.0,1319.0,21.2
Data/It,2018,5704.0,1185.0,20.8
Data/It,2019,7086.0,1317.0,18.6
Data/It,2020,10283.0,1508.0,14.7
Data/It,2021,12852.0,2276.0,17.7
Data/It,2022,14255.0,3356.0,23.5
Data/It,2023,15162.0,3247.0,21.4
Data/It,2024,16447.0,0.0,0.0
"Ekonomi, administration och försäljning",2005,6238.0,0.0,0.0
"Ekonomi, administration och försäljning",2006,7582.0,0.0,0.0
"Ekonomi, administration och försäljning",2007,8807.0,2074.0,23.5
"Ekonomi, administration och försäljning",2008,10264.0,2686.0,26.2
"Ekonomi, administration och försäljning",2009,11286.0,2997.0,26.6
"Ekonomi, administration och försäljning",2010,11905.0,3232.0,27.1
"Ekonomi, administration och försäljning",2011,12179.0,3380.0,27.8
"Ekonomi, administration och försäljning",2012,11946.0,3392.0,28.4
"Ekonomi, administration och försäljning",2013,12253.0,3358.0,27.4
"Ekonomi, administration och försäljning",2014,12261.0,3424.0,27.9
"Ekonomi, administration och försäljning",2015,11670.0,3857.0,33.1
"Ekonomi, administration och försäljning",2016,11529.0,3501.0,30.4
"Ekonomi, administration och försäljning",2017,12193.0,3268.0,26.8
"Ekonomi, administration och försäljning",2018,13797.0,3747.0,27.2
"Ekonomi, administration och försäljning",2019,15994.0,4104.0,25.7
"Ekonomi, administration och försäljning",2020,18491.0,4858.0,26.3
"Ekonomi, administration och försäljning",2021,18540.0,5432.0,29.3
"Ekonomi, administration och försäljning",2022,17818.0,5778.0,32.4
"Ekonomi, administration och försäljning",2023,17354.0,4928.0,28.4
"Ekonomi, administration och försäljning",2024,17380.0,0.0,0.0
Friskvård och kroppsvård,2005,481.0,0.0,0.0
Friskvård och kroppsvård,2006,738.0,0.0,0.0
Friskvård och kroppsvård,2007,883.0,202.0,22.9
Friskvård och kroppsvård,2008,993.0,304.0,30.6
Friskvård och kroppsvård,2009,1009.0,303.0,30.0
Friskvård och kroppsvård,2010,857.0,305.0,35.6
Friskvård och kroppsvård,2011,591.0,287.0,48.6
Friskvård och kroppsvård,2012,371.0,129.0,34.8
Friskvård och kroppsvård,2013,363.0,99.0,27.3
Friskvård och kroppsvård,2014,330.0,100.0,30.3
Friskvård och kroppsvård,2015,352.0,122.0,34.7
Friskvård och kroppsvård,2016,303.0,106.0,35.0
Friskvård och kroppsvård,2017,238.0,86.0,36.1
Friskvård och kroppsvård,2018,231.0,51.0,22.1
Friskvård och kroppsvård,2019,302.0,99.0,32.8
Friskvård och kroppsvård,2020,335.0,109.0,32.5
Friskvård och kroppsvård,2021,372.0,125.0,33.6
Friskvård och kroppsvård,2022,408.0,129.0,31.6
Friskvård och kroppsvård,2023,460.0,167.0,36.3
Friskvård och kroppsvård,2024,366.0,0.0,0.0
"Hotell, restaurang och turism",2005,2223.0,0.0,0.0
"Hotell, restaurang och turism",2006,2553.0,0.0,0.0
"Hotell, restaurang och turism",2007,2906.0,664.0,22.8
"Hotell, restaurang och turism",2008,3074.0,899.0,29.2
"Hotell, restaurang och turism",2009,2965.0,832.0,28.1
"Hotell, restaurang och turism",2010,2905.0,746.0,25.7
"Hotell, restaurang och turism",2011,2888.0,876.0,30.3
"Hotell, restaurang och turism",2012,2592.0,794.0,30.6
"Hotell, restaurang och turism",2013,2525.0,711.0,28.2
"Hotell, restaurang och turism",2014,2559.0,644.0,25.2
"Hotell, restaurang och turism",2015,2606.0,676.0,25.9
"Hotell, restaurang och turism",2016,2533.0,593.0,23.4
"Hotell, restaurang och turism",2017,2534.0,573.0,22.6
"Hotell, restaurang och turism",2018,2499.0,674.0,27.0
"Hotell, restaurang och turism",2019,2718.0,678.0,24.9
"Hotell, restaurang och turism",2020,3094.0,731.0,23.6
"Hotell, restaurang och turism",2021,3314.0,893.0,26.9
"Hotell, restaurang och turism",2022,3007.0,913.0,30.4
"Hotell, restaurang och turism",2023,2753.0,788.0,28.6
"Hotell, restaurang och turism",2024,2800.0,0.0,0.0
Hälso- och sjukvård samt socialt arbete,2005,2992.0,0.0,0.0
Hälso- och sjukvård samt socialt arbete,2006,3807.0,0.0,0.0
Hälso- och sjukvård samt socialt arbete,2007,4200.0,1241.0,29.5
Hälso- och sjukvård samt socialt arbete,2008,4029.0,1145.0,28.4
Hälso- och sjukvård samt socialt arbete,2009,4091.0,1108.0,27.1
Hälso- och sjukvård samt socialt arbete,2010,4496.0,1253.0,27.9
Hälso- och sjukvård samt socialt arbete,2011,4656.0,1427.0,30.6
Hälso- och sjukvård samt socialt arbete,2012,4525.0,1243.0,27.5
Hälso- och sjukvård samt socialt arbete,2013,4965.0,1387.0,27.9
Hälso- och sjukvård samt socialt arbete,2014,5738.0,1541.0,26.9
Hälso- och sjukvård samt socialt arbete,2015,6023.0,1985.0,33.0
Hälso- och sjukvård samt socialt arbete,2016,6162.0,2050.0,33.3
Hälso- och sjukvård samt socialt arbete,2017,6727.0,2138.0,31.8
Hälso- och sjukvård samt socialt arbete,2018,7451.0,1974.0,26.5
Hälso- och sjukvård samt socialt arbete,2019,9031.0,2242.0,24.8
Hälso- och sjukvård samt socialt arbete,2020,10904.0,2946.0,27.0
Hälso- och sjukvård samt socialt arbete,2021,12052.0,3032.0,25.2
Hälso- och sjukvård samt socialt arbete,2022,12880.0,3720.0,28.9
Hälso- och sjukvård samt socialt arbete,2023,12521.0,3938.0,31.5
Hälso- och sjukvård samt socialt arbete,2024,11916.0,0.0,0.0
Journalistik och information,2005,114.0,0.0,0.0
Journalistik och information,2006,101.0,0.0,0.0
Journalistik och information,2007,114.0,15.0,13.2
Journalistik och information,2008,159.0,22.0,13.8
Journalistik och information,2009,213.0,43.0,20.2
Journalistik och information,2010,256.0,66.0,25.8
Journalistik och information,2011,299.0,68.0,22.7
Journalistik och information,2012,277.0,61.0,22.0
Journalistik och information,2013,413.0,63.0,15.3
Journalistik och information,2014,621.0,114.0,18.4
Journalistik och information,2015,649.0,164.0,25.3
Journalistik och information,2016,723.0,207.0,28.6
Journalistik och information,2017,802.0,199.0,24.8
Journalistik och information,2018,833.0,191.0,22.9
Journalistik och information,2019,904.0,198.0,21.9
Journalistik och information,2020,967.0,278.0,28.7
Journalistik och information,2021,936.0,303.0,32.4
Journalistik och information,2022,823.0,255.0,31.0
Journalistik och information,2023,752.0,267.0,35.5
Journalistik och information,2024,646.0,0.0,0.0
Juridik,2005,0.0,0.0,
Juridik,2006,61.0,0.0,0.0
Juridik,2007,122.0,21.0,17.2
Juridik,2008,157.0,42.0,26.8
Juridik,2009,167.0,54.0,32.3
Juridik,2010,173.0,50.0,28.9
Juridik,2011,175.0,26.0,14.9
Juridik,2012,242.0,53.0,21.9
Juridik,2013,280.0,52.0,18.6
Juridik,2014,284.0,79.0,27.8
Juridik,2015,309.0,90.0,29.1
Juridik,2016,336.0,60.0,17.9
Juridik,2017,412.0,102.0,24.8
Juridik,2018,438.0,110.0,25.1
Juridik,2019,451.0,122.0,27.1
Juridik,2020,484.0,122.0,25.2
Juridik,2021,488.0,160.0,32.8
Juridik,2022,416.0,151.0,36.3
Juridik,2023,346.0,105.0,30.3
Juridik,2024,346.0,0.0,0.0
"Kultur, media och design",2005,2803.0,0.0,0.0
"Kultur, media och design",2006,2938.0,0.0,0.0
"Kultur, media och design",2007,2893.0,666.0,23.0
"Kultur, media och design",2008,2993.0,778.0,26.0
"Kultur, media och design",2009,2952.0,782.0,26.5
"Kultur, media och design",2010,2791.0,817.0,29.3
"Kultur, media och design",2011,2567.0,851.0,33.2
"Kultur, media och design",2012,2363.0,676.0,28.6
"Kultur, media och design",2013,2509.0,704.0,28.1
"Kultur, media och design",2014,2627.0,635.0,24.2
"Kultur, media och design",2015,2769.0,837.0,30.2
"Kultur, media och design",2016,2770.0,837.0,30.2
"Kultur, media och design",2017,2865.0,778.0,27.2
"Kultur, media och design",2018,2904.0,935.0,32.2
"Kultur, media och design",2019,3016.0,903.0,29.9
"Kultur, media och design",2020,3432.0,872.0,25.4
"Kultur, media och design",2021,3916.0,1017.0,26.0
"Kultur, media och design",2022,4223.0,1243.0,29.4
"Kultur, media och design",2023,4457.0,1201.0,26.9
"Kultur, media och design",2024,4636.0,0.0,0.0
"Lantbruk, djurvård, trädgård, skog och fiske",2005,920.0,0.0,0.0
"Lantbruk, djurvård, trädgård, skog och fiske",2006,1341.0,0.0,0.0
"Lantbruk, djurvård, trädgård, skog och fiske",2007,1538.0,460.0,29.9
"Lantbruk, djurvård, trädgård, skog och fiske",2008,1502.0,389.0,25.9
"Lantbruk, djurvård, trädgård, skog och fiske",2009,1549.0,462.0,29.8
"Lantbruk, djurvård, trädgård, skog och fiske",2010,1704.0,369.0,21.7
"Lantbruk, djurvård, trädgård, skog och fiske",2011,1654.0,469.0,28.4
"Lantbruk, djurvård, trädgård, skog och fiske",2012,1461.0,463.0,31.7
"Lantbruk, djurvård, trädgård, skog och fiske",2013,1355.0,417.0,30.8
"Lantbruk, djurvård, trädgård, skog och fiske",2014,1251.0,407.0,32.5
"Lantbruk, djurvård, trädgård, skog och fiske",2015,1307.0,395.0,30.2
"Lantbruk, djurvård, trädgård, skog och fiske",2016,1407.0,409.0,29.1
"Lantbruk, djurvård, trädgård, skog och fiske",2017,1442.0,424.0,29.4
"Lantbruk, djurvård, trädgård, skog och fiske",2018,1360.0,454.0,33.4
"Lantbruk, djurvård, trädgård, skog och fiske",2019,1416.0,324.0,22.9
"Lantbruk, djurvård, trädgård, skog och fiske",2020,1613.0,424.0,26.3
"Lantbruk, djurvård, trädgård, skog och fiske",2021,1810.0,461.0,25.5
"Lantbruk, djurvård, trädgård, skog och fiske",2022,1950.0,571.0,29.3
"Lantbruk, djurvård, trädgård, skog och fiske",2023,2091.0,560.0,26.8
"Lantbruk, djurvård, trädgård, skog och fiske",2024,2346.0,0.0,0.0
Pedagogik och undervisning,2005,16.0,0.0,0.0
Pedagogik och undervisning,2006,103.0,0.0,0.0
Pedagogik och undervisning,2007,186.0,13.0,7.0
Pedagogik och undervisning,2008,220.0,57.0,25.9
Pedagogik och undervisning,2009,250.0,69.0,27.6
Pedagogik och undervisning,2010,462.0,48.0,10.4
Pedagogik och undervisning,2011,660.0,321.0,48.6
Pedagogik och undervisning,2012,454.0,247.0,54.4
Pedagogik och undervisning,2013,424.0,161.0,38.0
Pedagogik och undervisning,2014,485.0,220.0,45.4
Pedagogik och undervisning,2015,422.0,192.0,45.5
Pedagogik och undervisning,2016,534.0,165.0,30.9
Pedagogik och undervisning,2017,654.0,313.0,47.9
Pedagogik och undervisning,2018,861.0,197.0,22.9
Pedagogik och undervisning,2019,1289.0,478.0,37.1
Pedagogik och undervisning,2020,1528.0,444.0,29.1
Pedagogik och undervisning,2021,1806.0,476.0,26.4
Pedagogik och undervisning,2022,1976.0,674.0,34.1
Pedagogik och undervisning,2023,1510.0,620.0,41.1
Pedagogik och undervisning,2024,1095.0,0.0,0.0
Samhällsbyggnad och byggteknik,2005,1406.0,0.0,0.0
Samhällsbyggnad och byggteknik,2006,1947.0,0.0,0.0
Samhällsbyggnad och byggteknik,2007,2388.0,524.0,21.9
Samhällsbyggnad och byggteknik,2008,2641.0,450.0,17.0
Samhällsbyggnad och byggteknik,2009,3183.0,621.0,19.5
Samhällsbyggnad och byggteknik,2010,3540.0,768.0,21.7
Samhällsbyggnad och byggteknik,2011,3918.0,801.0,20.4
Samhällsbyggnad och byggteknik,2012,4363.0,869.0,19.9
Samhällsbyggnad och byggteknik,2013,4743.0,1193.0,25.2
Samhällsbyggnad och byggteknik,2014,4969.0,1142.0,23.0
Samhällsbyggnad och byggteknik,2015,5512.0,1354.0,24.6
Samhällsbyggnad och byggteknik,2016,6066.0,1385.0,22.8
Samhällsbyggnad och byggteknik,2017,6831.0,1645.0,24.1
Samhällsbyggnad och byggteknik,2018,7534.0,1573.0,20.9
Samhällsbyggnad och byggteknik,2019,9019.0,1823.0,20.2
Samhällsbyggnad och byggteknik,2020,11547.0,2127.0,18.4
Samhällsbyggnad och byggteknik,2021,12744.0,2672.0,21.0
Samhällsbyggnad och byggteknik,2022,13038.0,3531.0,27.1
Samhällsbyggnad och byggteknik,2023,12561.0,3068.0,24.4
Samhällsbyggnad och byggteknik,2024,13129.0,0.0,0.0
Säkerhetstjänster,2005,267.0,0.0,0.0
Säkerhetstjänster,2006,425.0,0.0,0.0
Säkerhetstjänster,2007,565.0,108.0,19.1
Säkerhetstjänster,2008,626.0,117.0,18.7
Säkerhetstjänster,2009,629.0,169.0,26.9
Säkerhetstjänster,2010,544.0,169.0,31.1
Säkerhetstjänster,2011,459.0,144.0,31.4
Säkerhetstjänster,2012,370.0,97.0,26.2
Säkerhetstjänster,2013,336.0,119.0,35.4
Säkerhetstjänster,2014,350.0,107.0,30.6
Säkerhetstjänster,2015,378.0,64.0,16.9
Säkerhetstjänster,2016,375.0,133.0,35.5
Säkerhetstjänster,2017,275.0,142.0,51.6
Säkerhetstjänster,2018,284.0,63.0,22.2
Säkerhetstjänster,2019,408.0,100.0,24.5
Säkerhetstjänster,2020,579.0,155.0,26.8
Säkerhetstjänster,2021,594.0,120.0,20.2
Säkerhetstjänster,2022,763.0,195.0,25.6
Säkerhetstjänster,2023,833.0,218.0,26.2
Säkerhetstjänster,2024,830.0,0.0,0.0
Teknik och tillverkning,2005,3920.0,0.0,0.0
Teknik och tillverkning,2006,4310.0,0.0,0.0
Teknik och tillverkning,2007,4928.0,1086.0,22.0
Teknik och tillverkning,2008,5563.0,1196.0,21.5
Teknik och tillverkning,2009,6511.0,1474.0,22.6
Teknik och tillverkning,2010,7142.0,1672.0,23.4
Teknik och tillverkning,2011,7334.0,2071.0,28.2
Teknik och tillverkning,2012,6731.0,1705.0,25.3
Teknik och tillverkning,2013,7036.0,1799.0,25.6
Teknik och tillverkning,2014,7328.0,1853.0,25.3
Teknik och tillverkning,2015,7387.0,1871.0,25.3
Teknik och tillverkning,2016,7259.0,1782.0,24.5
Teknik och tillverkning,2017,7058.0,1746.0,24.7
Teknik och tillverkning,2018,6839.0,1670.0,24.4
Teknik och tillverkning,2019,7763.0,1670.0,21.5
Teknik och tillverkning,2020,9931.0,1935.0,19.5
Teknik och tillverkning,2021,11279.0,2411.0,21.4
Teknik och tillverkning,2022,11309.0,2777.0,24.6
Teknik och tillverkning,2023,11709.0,2561.0,21.9
Teknik och tillverkning,2024,13226.0,0.0,0.0
Totalt,2005,24789.0,0.0,0.0
Totalt,2006,29556.0,0.0,0.0
Totalt,2007,33684.0,7830.0,23.2
Totalt,2008,36657.0,8968.0,24.5
Totalt,2009,39417.0,9907.0,25.1
Totalt,2010,41597.0,10510.0,25.3
Totalt,2011,42484.0,12081.0,28.4
Totalt,2012,40754.0,10885.0,26.7
Totalt,2013,42596.0,11393.0,26.7
Totalt,2014,44929.0,11597.0,25.8
Totalt,2015,46633.0,13129.0,28.2
Totalt,2016,47983.0,12920.0,26.9
Totalt,2017,50373.0,13279.0,26.4
Totalt,2018,52741.0,13603.0,25.8
Totalt,2019,61393.0,14628.0,23.8
Totalt,2020,75371.0,17236.0,22.9
Totalt,2021,82753.0,19944.0,24.1
Totalt,2022,84871.0,23930.0,28.2
Totalt,2023,84560.0,22304.0,26.4
Totalt,2024,87225.0,0.0,0.0
Transporttjänster,2005,822.0,0.0,0.0
Transporttjänster,2006,1104.0,0.0,0.0
Transporttjänster,2007,1357.0,329.0,24.2
Transporttjänster,2008,1590.0,470.0,29.6
Transporttjänster,2009,1696.0,456.0,26.9
Transporttjänster,2010,1859.0,462.0,24.9
Transporttjänster,2011,1845.0,617.0,33.4
Transporttjänster,2012,1487.0,535.0,36.0
Transporttjänster,2013,1116.0,474.0,42.5
Transporttjänster,2014,941.0,300.0,31.9
Transporttjänster,2015,1190.0,343.0,28.8
Transporttjänster,2016,1544.0,435.0,28.2
Transporttjänster,2017,1850.0,494.0,26.7
Transporttjänster,2018,1749.0,694.0,39.7
Transporttjänster,2019,1673.0,527.0,31.5
Transporttjänster,2020,1757.0,646.0,36.8
Transporttjänster,2021,1573.0,498.0,31.7
Transporttjänster,2022,1490.0,520.0,34.9
Transporttjänster,2023,1618.0,489.0,30.2
Transporttjänster,2024,1691.0,0.0,0.0
Övrigt,2005,0.0,0.0,
Övrigt,2006,0.0,0.0,
Övrigt,2007,0.0,0.0,
Övrigt,2008,29.0,0.0,0.0
Övrigt,2009,59.0,22.0,37.3
Övrigt,2010,60.0,28.0,46.7
Övrigt,2011,99.0,27.0,27.3
Övrigt,2012,174.0,27.0,15.5
Övrigt,2013,224.0,0.0,0.0
Övrigt,2014,248.0,32.0,12.9
Övrigt,2015,247.0,65.0,26.3
Övrigt,2016,259.0,65.0,25.1
Övrigt,2017,282.0,52.0,18.4
Övrigt,2018,257.0,85.0,33.1
Övrigt,2019,323.0,43.0,13.3
Övrigt,2020,426.0,81.0,19.0
Övrigt,2021,477.0,68.0,14.3
Övrigt,2022,515.0,117.0,22.7
Övrigt,2023,433.0,147.0,33.9
Övrigt,2024,371.0,0.0,0.0
